national_occ_title,occ_code,occupation_type,employment_2025,employment_2035,growth_pct,annual_openings,national_median_wage,education,occupation_group,salary_score,growth_score,openings_score
      Parking attendants,53-6021,line item,139200.0,142000.0,2.0,16400.0,35150.0,No formal educational credential,Transportation and Material Moving,0.8066043094633999,48.275862068965516,1.982112642011119
        Automotive and watercraft service attendants,53-6031,line item,102400.0,106300.0,3.8,12900.0,35670.0,No formal educational credential,Transportation and Material Moving,0.905063051463627,50.663129973474796,1.559100797679478
        Aircraft service attendants,53-6032,line item,31200.0,32900.0,5.6,4000.0,40450.0,High school diploma or equivalent,Transportation and Material Moving,1.810126102927254,53.05039787798408,0.48344210780759
      Traffic technicians,53-6041,line item,8100.0,8400.0,4.0,900.0,59090.0,High school diploma or equivalent,Transportation and Material Moving,5.339493316166168,50.92838196286471,0.10877447425670776
      Transportation inspectors,53-6051,line item,25100.0,25600.0,2.2,2300.0,92100.0,High school diploma or equivalent,Transportation and Material Moving,11.589729995834439,48.54111405835543,0.27797921198936426
      Passenger attendants,53-6061,line item,27200.0,28900.0,6.0,4300.0,37720.0,High school diploma or equivalent,Transportation and Material Moving,1.2932177074260613,53.580901856763916,0.5197002658931593
"      Transportation workers, all other",53-6099,line item,13700.0,14300.0,4.0,1600.0,45650.0,High school diploma or equivalent,Transportation and Material Moving,2.794713522929526,50.92838196286471,0.19337684312303602
      Conveyor operators and tenders,53-7011,line item,29000.0,28200.0,-2.6,2200.0,42420.0,No formal educational credential,Transportation and Material Moving,2.1831332601204227,42.17506631299734,0.26589315929417456
      Crane and tower operators,53-7021,line item,42900.0,44500.0,3.8,3500.0,68080.0,High school diploma or equivalent,Transportation and Material Moving,7.0416934903624036,50.663129973474796,0.4230118443316413
      Dredge operators,53-7031,line item,1300.0,1300.0,0.7,100.0,49640.0,High school diploma or equivalent,Transportation and Material Moving,3.550195024046654,46.55172413793103,0.012086052695189751
      Hoist and winch operators,53-7041,line item,3200.0,3200.0,0.2,300.0,56450.0,No formal educational credential,Transportation and Material Moving,4.8396258567803985,45.88859416445623,0.03625815808556925
      Industrial truck and tractor operators,53-7051,line item,765200.0,776300.0,1.5,64700.0,46420.0,No formal educational credential,Transportation and Material Moving,2.940508198583709,47.61273209549071,7.819676093787768
        Cleaners of vehicles and equipment,53-7061,line item,419500.0,435800.0,3.9,51500.0,35830.0,No formal educational credential,Transportation and Material Moving,0.9353580490021586,50.79575596816975,6.224317138022721
"        Laborers and freight, stock, and material movers, hand",53-7062,line item,2940300.0,2991900.0,1.8,340500.0,40240.0,No formal educational credential,Transportation and Material Moving,1.7703639186579314,48.010610079575585,41.1530094271211
        Machine feeders and offbearers,53-7063,line item,41800.0,36300.0,-13.1,4000.0,41220.0,No formal educational credential,Transportation and Material Moving,1.9559207785814368,28.24933687002652,0.48344210780759
"        Packers and packagers, hand",53-7064,line item,555500.0,528000.0,-5.0,61800.0,36280.0,No formal educational credential,Transportation and Material Moving,1.0205627295792783,38.9920424403183,7.4691805656272665
        Stockers and order fillers,53-7065,line item,2804300.0,3055000.0,8.9,430700.0,37330.0,No formal educational credential,Transportation and Material Moving,1.2193736509258908,57.42705570291776,52.054628958182256
        Gas compressor and gas pumping station operators,53-7071,line item,3500.0,3600.0,2.1,300.0,77320.0,High school diploma or equivalent,Transportation and Material Moving,8.791229598212595,48.40848806366048,0.03625815808556925
"        Pump operators, except wellhead pumpers",53-7072,line item,9800.0,10200.0,4.3,1000.0,61770.0,High school diploma or equivalent,Transportation and Material Moving,5.84693452493657,51.32625994694959,0.1208605269518975
        Wellhead pumpers,53-7073,line item,18400.0,18000.0,-2.0,1700.0,69960.0,High school diploma or equivalent,Transportation and Material Moving,7.397659711440148,42.9708222811671,0.20546289581822577
      Refuse and recyclable material collectors,53-7081,line item,156400.0,159600.0,2.1,15500.0,49690.0,No formal educational credential,Transportation and Material Moving,3.559662210777445,48.40848806366048,1.8733381677544114
"      Tank car, truck, and ship loaders",53-7121,line item,12800.0,13200.0,2.8,1300.0,58870.0,No formal educational credential,Transportation and Material Moving,5.2978376945506875,49.33687002652519,0.15711868503746676
"      Material moving workers, all other",53-7199,line item,27800.0,28600.0,2.7,2800.0,41800.0,No formal educational credential,Transportation and Material Moving,2.065740144658613,49.204244031830235,0.338409475465313
